INPUT-#Scan#	INPUT-SpectrumID	INPUT-Compound_Name	INPUT-InChIKey-Planar	Tag_Status1	Action1	Add_InCHIKey-Planar	Cannot_Add_InChIKey-Planar	Tag_Status2	Action2	Add_Tag1	Add_Tag2	Add_Tag3	Contribute-NCBITaxonomy1	Contribute-NCBITaxonomy2	Contribute-NCBITaxonomy3	Contribute-UBERONTag1	Contribute-UBERONTag2	Contribute-UBERONTag3	Contribute-LifestyleTag1	Contribute-LifestyleTag2	Contribute-LifestyleTag3	Current_Tags	Current_NCBITaxonomy	Current_UBERON	Current_Lifestyle
1000232	CCMSLIB00003136240	Spectral Match to Procyanidin B2 from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1001265	CCMSLIB00005436493	putative tryptophane conjugated chenodeoxycholic acid (clustered spectrum)	CYHFCBVFHBCQHF	Tags Missing	Add Tags																				
1001982	CCMSLIB00003139941	Spectral Match to 1-Behenoyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1002469	CCMSLIB00004691161	Biliverdin	RCNSAJSGRJSBKK	Tags Present	Check Current Tags and Add if Incomplete																	human	9606|Homo sapiens	|feces|saliva	
1004467	CCMSLIB00003137857	Spectral Match to Biliverdin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1004516	CCMSLIB00003137857	Spectral Match to Biliverdin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1005074	CCMSLIB00003139318	Spectral Match to Bilirubin from METLIN	BPYKTIZUTYGOLE	Tags Present	Check Current Tags and Add if Incomplete																	human|food|naturalproduct	9606|Homo sapiens	bile|blood|cerebrospinal fluid|feces|urine	|food consumption
1005176	CCMSLIB00003139318	Spectral Match to Bilirubin from METLIN	BPYKTIZUTYGOLE	Tags Present	Check Current Tags and Add if Incomplete																	human|food|naturalproduct	9606|Homo sapiens	bile|blood|cerebrospinal fluid|feces|urine	|food consumption
1006828	CCMSLIB00003136956	Spectral Match to Bilirubin from METLIN	BPYKTIZUTYGOLE	Tags Present	Check Current Tags and Add if Incomplete																	human|food|naturalproduct	9606|Homo sapiens	bile|blood|cerebrospinal fluid|feces|urine	|food consumption
1006842	CCMSLIB00003136956	Spectral Match to Bilirubin from METLIN	BPYKTIZUTYGOLE	Tags Present	Check Current Tags and Add if Incomplete																	human|food|naturalproduct	9606|Homo sapiens	bile|blood|cerebrospinal fluid|feces|urine	|food consumption
1006865	CCMSLIB00003136956	Spectral Match to Bilirubin from METLIN	BPYKTIZUTYGOLE	Tags Present	Check Current Tags and Add if Incomplete																	human|food|naturalproduct	9606|Homo sapiens	bile|blood|cerebrospinal fluid|feces|urine	|food consumption
1012182	CCMSLIB00003138997	Spectral Match to Urobilin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1012359	CCMSLIB00003137178	Spectral Match to Urobilin from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1013258	CCMSLIB00000478608	DescladinoseAzithromycin	PXDYILJJHOVNLO	Tags Present	Check Current Tags and Add if Incomplete																	drug|drug_metabolite		|saliva	|drug or medication use
1016773	CCMSLIB00001059689	Stercobilin	TYOWQSLRVAUSMI	Tags Present	Check Current Tags and Add if Incomplete																	bacterial_modified|human|food|animal|human_modified|naturalproduct	9606|Homo sapiens	feces|urine	|food consumption
1019537	CCMSLIB00005788068	SN00379882 acylated triterpenoid putative	PTAWTRFFYYUWRS	Tags Missing	Add Tags																				
1019611	CCMSLIB00003136865	Spectral Match to Decapropylene glycol from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1020343	CCMSLIB00005716874	Clindamycin-O-glucuronide (position unspecified)	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1022872	CCMSLIB00004698387	desmethylenylnocardamine	SXTGVXKFOVZYIK	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_produced|naturalproduct		|saliva	
1022874	CCMSLIB00004698387	desmethylenylnocardamine	SXTGVXKFOVZYIK	Tags Present	Check Current Tags and Add if Incomplete																	bacterial|bacterial_produced|naturalproduct		|saliva	
1026952	CCMSLIB00003136989	Spectral Match to 1-Lignoceroyl-2-hydroxy-sn-glycero-3-phosphocholine from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1028900	CCMSLIB00005436263	Contaminants septum vial Thermo C4000-53 and C4000-54 serie	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1031239	CCMSLIB00000209048	ReSpect:PM000974 Glutathione (oxidised form)	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1033477	CCMSLIB00003136854	Spectral Match to Hemin cation from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1035860	CCMSLIB00003135076	Spectral Match to 1-(5Z,8Z,11Z,14Z-Eicosatetraenoyl)-sn-glycero-3-phospho-(1'-myo-inositol) from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1042030	CCMSLIB00005435823	Contaminant vial septum ThermoFisher C5000-44B	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1043957	CCMSLIB00005435818	Contaminant vial septum ThermoFisher C5000-44B	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
1053373	CCMSLIB00005721434	NCGC00384646-01!(4R)-4-ethenyl-4,10-dimethyl-2-(2-methylprop-1-enyl)-2,3-dihydropyrano[3,2-c]chromen-5-one [IIN-based on: CCMSLIB00000846008]	NJVADEFPOCMONF	Tags Present	Check Current Tags and Add if Incomplete																	naturalproduct			
1057211	CCMSLIB00003139988	Spectral Match to p-tert-Octylphenol decaglycol ether from NIST14	N/A	InChIKey-Planar Missing	Add_InChIKey-Planar or Cannot_Add_InCHIKey-Planar then Check Action2																				
