CLUSTERID1,CLUSTERID2,DeltaMZ,MEH,Cosine,OtherScore,ComponentIndex,EdgeAnnotation,Cluster_drug,Cluster_metabolite,AllGroups,DefaultGroups,EvenOdd,G1,G2,G3,G4,G5,G6,GNPSLinkout_Cluster,GNPSLinkout_Network,LibraryID,MQScore,MZErrorPPM,MassDiff,RTMean,RTMean_min,RTStdErr,Smiles,SpectrumID,UniqueFileSources,UniqueFileSourcesCount,componentindex,number.of.spectra,parent.mass,precursor.charge,precursor.mass,sum.precursor.intensity.
13764,13771,0.006,13764,0.9546,13764,3,NA,2,13764,NA,"G1,G2",1,8,56,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13764&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,388.489546875,6.47482578125,92.80252432331274,N/A,N/A,blank01.mzML|A28_1.mzML|A23_1.mzML|P37_1.mzML|A32_2.mzML|E12_3.mzML|17NAVY22_16_plasma.mzML|1_p_StdMix_500ppb_01.mzML|1_p_3935_12152014_1.mzML|1_p_173003_03072018.mzML|A23_2.mzML|blank02.mzML|E15_1.mzML|1_p_3815_07162014.mzML|P47_2.mzML|A25_1.mzML|QC14.mzML|1_p_163067_10042017.mzML|A20_2.mzML|E17_2.mzML|E04_3.mzML|A22_3.mzML|CQ01.mzML|QC01.mzML|P53_1.mzML|E09_1.mzML|A20_1.mzML|blank04.mzML|P54_1.mzML|QC05.mzML|blank05.mzML|E18_1.mzML|A27_1.mzML|A34_3.mzML|A19_2.mzML|A27_3.mzML|A22_2.mzML|CQ03.mzML|P37_2.mzML|A33_3.mzML|A20_3.mzML|P41_3.mzML|P47_1.mzML|A33_1.mzML|P47_3.mzML|blank06.mzML|1_p_StdMix_1000ppb_02.mzML|QC04.mzML|E11_3.mzML|E12_2.mzML,50,3,64,167.019,1,167.019,43426100
13763,13818,0.002,13763,0.9703,13763,3,NA,1,13818,NA,G2,1,0,32,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13818&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,650.9275,10.848791666666667,232.75754399293913,N/A,N/A,P37_1.mzML|A32_2.mzML|E18_2.mzML|A23_2.mzML|blank02.mzML|QC09.mzML|P47_2.mzML|A34_2.mzML|P53_2.mzML|A25_1.mzML|P49_3.mzML|CQ02.mzML|QC12.mzML|M060_plasma.mzML|A21_2.mzML|E12_1.mzML|blank04.mzML|A30_1.mzML|P48_2.mzML|A31_3.mzML|A27_1.mzML|P55_1.mzML|CQ04.mzML|CQ03.mzML|E13_3.mzML|A28_2.mzML|QC03.mzML|A19_3.mzML|A33_2.mzML,29,3,32,167.016,1,167.016,28964700
13822,13851,0.01,13822,0.9731,13822,3,NA,1,13851,NA,G2,1,0,10,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13851&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,498.751,8.312516666666665,27.31320976743671,N/A,N/A,A30_3.mzML|blank04.mzML|QC05.mzML|P47_3.mzML|QC02.mzML|E04_2.mzML|A21_3.mzML|P48_3.mzML|A25_2.mzML,9,3,10,167.013,1,167.013,8207300
13758,13775,2656.177,13758,0.9816,13758,3,NA,2,13758,NA,"G1,G2,G3",0,3,88,5,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13758&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,446.9375864583333,7.448959774305555,112.12772376788632,N/A,N/A,blank01.mzML|E11_2.mzML|P54_3.mzML|P37_1.mzML|17NAVY22_8_plasma.mzML|94286.mzML|P48_1.mzML|QC02.mzML|E18_2.mzML|P41_1.mzML|A23_2.mzML|blank02.mzML|A25_3.mzML|P53_2.mzML|QC04.mzML|94225.mzML|A22_3.mzML|A23_3.mzML|94279.mzML|E05_2.mzML|QC12.mzML|E05_3.mzML|P38_1.mzML|A31_1.mzML|E12_1.mzML|A21_2.mzML|94081.mzML|E09_1.mzML|A20_1.mzML|blank04.mzML|P54_1.mzML|P51_2.mzML|A30_1.mzML|P48_2.mzML|A31_3.mzML|blank05.mzML|E18_1.mzML|A27_3.mzML|M110_plasma.mzML|A19_1.mzML|P55_3.mzML|CQ03.mzML|A22_1.mzML|94273.mzML|E17_3.mzML|P41_3.mzML|A28_2.mzML|P47_3.mzML|blank06.mzML|QC03.mzML|A21_3.mzML|A19_3.mzML|E17_1.mzML|18NAVY27_13_plasma.mzML|17NAVY22_15_plasma.mzML|E13_2.mzML|E12_2.mzML,57,3,96,2823.19,17,167.011,70047000
13771,13811,-0.007,13771,0.9882,13771,3,NA,1,13811,NA,"G1,G2,G3",1,12,15,1,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13811&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,321.4065357142857,5.356775595238095,157.64568284956576,N/A,N/A,blank01.mzML|1_p_StdMix_250ppb_02.mzML|1_p_StdMix_500ppb_02.mzML|000094462.mzML|1_p_StdMix_500ppb_01.mzML|E05_1.mzML|1_p_blk_LCMSblk_50MeOH_09.mzML|1_p_blk_LCMSblk_50MeOH_08.mzML|QC13.mzML|blank02.mzML|A34_2.mzML|1_p_blk_LCMSblk_50MeOH_03.mzML|CQ01.mzML|E05_2.mzML|M075_plasma.mzML|1_p_blk_LCMSblk_50MeOH_02.mzML|1_p_3771_01102013.mzML|blank05.mzML|A34_3.mzML|CQ03.mzML|1_p_blk_LCMSblk_50MeOH_04.mzML|A33_1.mzML|M002_plasma.mzML|1_p_StdMix_1000ppb_01.mzML|1_p_StdMix_5000ppb_02.mzML,25,3,28,167.02,1,167.02,11500800
13771,15993,-4.979,13771,0.9816,13771,3,NA,1,15993,NA,G2,0,0,51,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=15993&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,42.75121568627451,0.7125202614379086,0.6478542181611812,N/A,N/A,A23_1.mzML|P54_3.mzML|P37_1.mzML|QC06.mzML|P48_1.mzML|A34_1.mzML|E18_2.mzML|E04_1.mzML|QC13.mzML|A23_2.mzML|A25_1.mzML|A34_2.mzML|P53_2.mzML|P38_3.mzML|A22_3.mzML|A23_3.mzML|CQ01.mzML|E05_2.mzML|QC12.mzML|QC01.mzML|P37_3.mzML|A31_1.mzML|P53_1.mzML|E09_1.mzML|A30_2.mzML|QC16.mzML|P54_2.mzML|P51_2.mzML|QC11.mzML|P48_2.mzML|A30_1.mzML|A21_1.mzML|A27_1.mzML|CQ04.mzML|A22_2.mzML|P55_3.mzML|CQ03.mzML|A22_1.mzML|E09_3.mzML|E17_3.mzML|A20_3.mzML|P47_1.mzML|A27_2.mzML|A28_3.mzML|A32_3.mzML|A32_1.mzML|E17_1.mzML|E13_1.mzML|QC04.mzML|E13_2.mzML|A33_2.mzML,51,3,51,171.992,0,171.992,918742000
13822,15993,-4.969,13822,0.9463,13822,3,NA,1,15993,NA,G2,0,0,51,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=15993&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,42.75121568627451,0.7125202614379086,0.6478542181611812,N/A,N/A,A23_1.mzML|P54_3.mzML|P37_1.mzML|QC06.mzML|P48_1.mzML|A34_1.mzML|E18_2.mzML|E04_1.mzML|QC13.mzML|A23_2.mzML|A25_1.mzML|A34_2.mzML|P53_2.mzML|P38_3.mzML|A22_3.mzML|A23_3.mzML|CQ01.mzML|E05_2.mzML|QC12.mzML|QC01.mzML|P37_3.mzML|A31_1.mzML|P53_1.mzML|E09_1.mzML|A30_2.mzML|QC16.mzML|P54_2.mzML|P51_2.mzML|QC11.mzML|P48_2.mzML|A30_1.mzML|A21_1.mzML|A27_1.mzML|CQ04.mzML|A22_2.mzML|P55_3.mzML|CQ03.mzML|A22_1.mzML|E09_3.mzML|E17_3.mzML|A20_3.mzML|P47_1.mzML|A27_2.mzML|A28_3.mzML|A32_3.mzML|A32_1.mzML|E17_1.mzML|E13_1.mzML|QC04.mzML|E13_2.mzML|A33_2.mzML,51,3,51,171.992,0,171.992,918742000
13768,13775,0.022,13768,0.9452,13768,3,NA,2,13768,NA,"G1,G2,G3",1,9,91,13,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13768&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,357.7197707964602,5.961996179941003,95.22768768985418,N/A,N/A,blank01.mzML|A23_1.mzML|P54_3.mzML|94072.mzML|P37_1.mzML|000094435.mzML|A32_2.mzML|QC06.mzML|P49_1.mzML|QC02.mzML|000094449.mzML|E05_1.mzML|16NAVY11_4_plasma.mzML|QC13.mzML|P51_3.mzML|E15_1.mzML|E09_2.mzML|E15_3.mzML|blank02.mzML|QC09.mzML|94332.mzML|QC14.mzML|QC04.mzML|000094479.mzML|A20_2.mzML|94375.mzML|17NAVY24_10_plasma.mzML|15NAVY01_1_plasma.mzML|16NAVY11_13_plasma.mzML|1_p_QC_SPEkit_StdMix_01.mzML|18NAVY27_7_plasma.mzML|A23_3.mzML|CQ02.mzML|CQ01.mzML|E05_2.mzML|QC01.mzML|E05_3.mzML|P38_1.mzML|A21_2.mzML|E12_1.mzML|P53_1.mzML|P53_3.mzML|P49_2.mzML|A20_1.mzML|E09_1.mzML|94379.mzML|17NAVY19_8_plasma.mzML|000094460.mzML|P51_2.mzML|P41_2.mzML|blank05.mzML|A21_1.mzML|E18_1.mzML|000094458.mzML|CQ04.mzML|94353.mzML|000094453.mzML|CQ03.mzML|E11_1.mzML|000094498.mzML|P37_2.mzML|17NAVY18_18_plasma.mzML|P51_1.mzML|A33_3.mzML|P47_1.mzML|18NAVY28_15_plasma.mzML|94291.mzML|A33_1.mzML|QC08.mzML|blank06.mzML|QC03.mzML|E04_2.mzML|A31_2.mzML|A19_3.mzML|blank03.mzML|A22_1.mzML|A33_2.mzML|E12_2.mzML,78,3,113,167.035,1,167.035,73832500
13771,36449,-18.011,13771,0.9815,13771,3,H2O,1,36449,NA,"G1,G2",1,3,25,0,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=36449&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,97.47306785714285,1.6245511309523808,180.19677465718664,N/A,N/A,E11_2.mzML|A23_1.mzML|16NAVY04_15_plasma.mzML|P37_1.mzML|E18_2.mzML|E04_1.mzML|E05_1.mzML|P41_1.mzML|E04_3.mzML|A23_3.mzML|CQ02.mzML|CQ01.mzML|E05_2.mzML|QC01.mzML|E05_3.mzML|A30_3.mzML|15NAVY02_6_plasma.mzML|A30_1.mzML|P41_2.mzML|E18_1.mzML|CQ04.mzML|16NAVY05_18_plasma.mzML|CQ03.mzML|E09_3.mzML|A28_2.mzML|QC08.mzML|QC03.mzML|A22_1.mzML,28,3,28,185.024,1,185.024,306621000
13771,13826,-0.001,13771,0.9628,13771,3,NA,1,13826,NA,"G1,G3",1,29,0,7,0,0,0,https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=160284a28da14afdbf0823851b4c6c31&view=cluster_details&protein=13826&show=true,https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=3&task=160284a28da14afdbf0823851b4c6c31&show=true,N/A,N/A,N/A,N/A,279.9386944444444,4.665644907407407,40.7062747461886,N/A,N/A,1_p_4691_08042013.mzML|94277.mzML|1_p_StdMix_500ppb_02.mzML|1_p_153084_12082015.mzML|1_p_StdMix_31pt25ppb_03.mzML|1_p_StdMix_500ppb_01.mzML|1_p_4404_02242009.mzML|1_p_3815_07162014.mzML|1_p_153072_09172015.mzML|1_p_3854_01072014.mzML|1_p_3533_02022010.mzML|1_p_StdMix_500ppb_03.mzML|1_p_4677_01012013.mzML|1_p_QC_SPEkit_StdMix_01.mzML|1_p_StdMix_250ppb_01.mzML|1_p_blk_LCMSblk_50MeOH_05.mzML|1_p_163014_02192016.mzML|1_p_4361_07052008.mzML|1_p_153001_03232016.mzML|1_p_blk_LCMSblk_50MeOH_17.mzML|1_p_3912_09142016.mzML|000094428.mzML|94361.mzML|1_p_3771_01102013.mzML|94103.mzML|1_p_OS_07132016.mzML|94050.mzML|1_p_StdMix_62pt5ppb_03.mzML|1_p_4705_05172013.mzML|1_p_blk_LCMSblk_50MeOH_04.mzML|1_p_QC_SPEkit_StdMix_03.mzML|94096.mzML|1_p_blk_SPEkit_03.mzML|1_p_3826_09032013.mzML|000094471.mzML,35,3,36,167.014,1,167.014,3428860
